#﻿Frequency	Permitivity
100	98.094154
200	77.997608
300	70.484984
400	66.423854
500	63.829772
600	62.003412
700	60.631928
800	59.553296
900	58.674777
1000	57.939263
1100	57.309573
1200	56.760408
1300	56.273931
1400	55.837185
1500	55.440529
1600	55.076631
1700	54.739814
1800	54.425614
1900	54.130471
2000	53.851511
2100	53.586390
2200	53.333175
2300	53.090260
2400	52.856301
2500	52.630163
2600	52.410882
2700	52.197636
2800	51.989721
2900	51.786527
3000	51.587527
3100	51.392264
3200	51.200336
3300	51.011395
3400	50.825133
3500	50.641280
3600	50.459596
3700	50.279870
3800	50.101916
3900	49.925568
4000	49.750678
4100	49.577114
4200	49.404761
4300	49.233512
4400	49.063277
4500	48.893971
4600	48.725520
4700	48.557858
4800	48.390927
4900	48.224674
5000	48.059051
5100	47.894017
5200	47.729535
5300	47.565571
5400	47.402097
5500	47.239087
5600	47.076518
5700	46.914369
5800	46.752625
5900	46.591268
6000	46.430287
