#﻿Frequency	Permitivity
100	27.628944
200	24.416466
300	23.162794
400	22.442866
500	21.949701
600	21.575436
700	21.271867
800	21.014034
900	20.787652
1000	20.583928
1100	20.397139
1200	20.223394
1300	20.059956
1400	19.904839
1500	19.756569
1600	19.614027
1700	19.476352
1800	19.342867
1900	19.213036
2000	19.086426
2100	18.962688
2200	18.841532
2300	18.722721
2400	18.606056
2500	18.491368
2600	18.378518
2700	18.267383
2800	18.157860
2900	18.049859
3000	17.943304
3100	17.838126
3200	17.734266
3300	17.631672
3400	17.530296
3500	17.430099
3600	17.331042
3700	17.233092
3800	17.136220
3900	17.040398
4000	16.945600
4100	16.851804
4200	16.758989
4300	16.667136
4400	16.576225
4500	16.486240
4600	16.397166
4700	16.308986
4800	16.221688
4900	16.135257
5000	16.049681
5100	15.964948
5200	15.881045
5300	15.797962
5400	15.715687
5500	15.634212
5600	15.553524
5700	15.473614
5800	15.394474
5900	15.316093
6000	15.238462
