#﻿Frequency	Permitivity
100	49.950000
200	49.950000
300	49.950000
400	49.950000
500	49.950000
600	49.950000
700	49.950000
800	49.950000
900	49.950000
1000	49.950000
1100	49.950000
1200	49.950000
1300	49.950000
1400	49.950000
1500	49.950000
1600	49.950000
1700	49.950000
1800	49.950000
1900	49.950000
2000	49.950000
2100	49.950000
2200	49.950000
2300	49.950000
2400	49.950000
2500	49.950000
2600	49.950000
2700	49.950000
2800	49.950000
2900	49.950000
3000	49.950000
3100	49.950000
3200	49.950000
3300	49.950000
3400	49.950000
3500	49.950000
3600	49.950000
3700	49.950000
3800	49.950000
3900	49.950000
4000	49.950000
4100	49.950000
4200	49.950000
4300	49.950000
4400	49.950000
4500	49.950000
4600	49.950000
4700	49.950000
4800	49.950000
4900	49.950000
5000	49.950000
5100	49.950000
5200	49.950000
5300	49.950000
5400	49.950000
5500	49.950000
5600	49.950000
5700	49.950000
5800	49.950000
5900	49.950000
6000	49.950000
