#﻿Frequency	Permitivity
100	83.365665
200	82.260303
300	81.596888
400	81.119186
500	80.744867
600	80.436684
700	80.174541
800	79.946337
900	79.744209
1000	79.562752
1100	79.398095
1200	79.247363
1300	79.108364
1400	78.979390
1500	78.859081
1600	78.746335
1700	78.640253
1800	78.540084
1900	78.445199
2000	78.355065
2100	78.269227
2200	78.187289
2300	78.108913
2400	78.033797
2500	77.961682
2600	77.892334
2700	77.825549
2800	77.761142
2900	77.698950
3000	77.638823
3100	77.580629
3200	77.524247
3300	77.469567
3400	77.416488
3500	77.364920
3600	77.314777
3700	77.265984
3800	77.218469
3900	77.172166
4000	77.127016
4100	77.082961
4200	77.039951
4300	76.997935
4400	76.956870
4500	76.916713
4600	76.877424
4700	76.838967
4800	76.801308
4900	76.764412
5000	76.728252
5100	76.692796
5200	76.658019
5300	76.623895
5400	76.590399
5500	76.557510
5600	76.525205
5700	76.493464
5800	76.462267
5900	76.431596
6000	76.401435
