#﻿Frequency	Conductivity
100	0.684551
200	0.700221
300	0.716239
400	0.732461
500	0.748823
600	0.765290
700	0.781838
800	0.798452
900	0.815120
1000	0.831835
1100	0.848589
1200	0.865378
1300	0.882198
1400	0.899044
1500	0.915914
1600	0.932805
1700	0.949716
1800	0.966645
1900	0.983589
2000	1.000548
2100	1.017521
2200	1.034506
2300	1.051502
2400	1.068508
2500	1.085525
2600	1.102550
2700	1.119584
2800	1.136625
2900	1.153674
3000	1.170730
3100	1.187791
3200	1.204859
3300	1.221932
3400	1.239011
3500	1.256094
3600	1.273182
3700	1.290274
3800	1.307370
3900	1.324470
4000	1.341574
4100	1.358681
4200	1.375791
4300	1.392904
4400	1.410019
4500	1.427138
4600	1.444258
4700	1.461382
4800	1.478507
4900	1.495634
5000	1.512763
5100	1.529894
5200	1.547027
5300	1.564161
5400	1.581297
5500	1.598434
5600	1.615572
5700	1.632711
5800	1.649852
5900	1.666994
6000	1.684136
