#﻿Frequency	Conductivity
100	0.810660
200	0.935282
300	1.022448
400	1.094498
500	1.158971
600	1.219382
700	1.277659
800	1.334977
900	1.392098
1000	1.449542
1100	1.507676
1200	1.566769
1300	1.627014
1400	1.688561
1500	1.751518
1600	1.815970
1700	1.881977
1800	1.949587
1900	2.018832
2000	2.089735
2100	2.162312
2200	2.236569
2300	2.312511
2400	2.390133
2500	2.469432
2600	2.550396
2700	2.633016
2800	2.717275
2900	2.803158
3000	2.890648
3100	2.979725
3200	3.070367
3300	3.162555
3400	3.256265
3500	3.351474
3600	3.448158
3700	3.546293
3800	3.645854
3900	3.746816
4000	3.849152
4100	3.952838
4200	4.057846
4300	4.164151
4400	4.271727
4500	4.380547
4600	4.490584
4700	4.601812
4800	4.714205
4900	4.827735
5000	4.942378
5100	5.058106
5200	5.174894
5300	5.292714
5400	5.411543
5500	5.531353
5600	5.652119
5700	5.773816
5800	5.896418
5900	6.019901
6000	6.144240
