#﻿Frequency	Permitivity
100	89.769991
200	67.111775
300	59.719409
400	55.996196
500	53.722148
600	52.170349
700	51.031534
800	50.151398
900	49.444156
1000	48.858221
1100	48.360658
1200	47.929430
1300	47.549222
1400	47.209053
1500	46.900840
1600	46.618497
1700	46.357358
1800	46.113782
1900	45.884889
2000	45.668369
2100	45.462350
2200	45.265300
2300	45.075953
2400	44.893253
2500	44.716316
2600	44.544396
2700	44.376856
2800	44.213154
2900	44.052827
3000	43.895472
3100	43.740743
3200	43.588339
3300	43.437997
3400	43.289488
3500	43.142610
3600	42.997188
3700	42.853067
3800	42.710109
3900	42.568195
4000	42.427217
4100	42.287082
4200	42.147707
4300	42.009017
4400	41.870947
4500	41.733439
4600	41.596443
4700	41.459913
4800	41.323809
4900	41.188097
5000	41.052745
5100	40.917726
5200	40.783016
5300	40.648595
5400	40.514444
5500	40.380549
5600	40.246896
5700	40.113474
5800	39.980273
5900	39.847285
6000	39.714505
