#﻿Frequency	Conductivity
100	1.655461
200	1.765619
300	1.840640
400	1.902411
500	1.958025
600	2.010699
700	2.062163
800	2.113451
900	2.165219
1000	2.217910
1100	2.271828
1200	2.327191
1300	2.384153
1400	2.442829
1500	2.503299
1600	2.565622
1700	2.629840
1800	2.695979
1900	2.764056
2000	2.834080
2100	2.906052
2200	2.979967
2300	3.055819
2400	3.133595
2500	3.213279
2600	3.294854
2700	3.378300
2800	3.463595
2900	3.550717
3000	3.639641
3100	3.730341
3200	3.822792
3300	3.916966
3400	4.012835
3500	4.110371
3600	4.209546
3700	4.310330
3800	4.412694
3900	4.516609
4000	4.622044
4100	4.728970
4200	4.837357
4300	4.947176
4400	5.058395
4500	5.170985
4600	5.284917
4700	5.400160
4800	5.516685
4900	5.634463
5000	5.753463
5100	5.873657
5200	5.995015
5300	6.117509
5400	6.241110
5500	6.365790
5600	6.491521
5700	6.618274
5800	6.746021
5900	6.874737
6000	7.004392
