#﻿Frequency	Conductivity
100	0.172506
200	0.195915
300	0.215562
400	0.234597
500	0.253973
600	0.274075
700	0.295072
800	0.317039
900	0.340002
1000	0.363958
1100	0.388892
1200	0.414779
1300	0.441588
1400	0.469287
1500	0.497841
1600	0.527214
1700	0.557372
1800	0.588280
1900	0.619904
2000	0.652210
2100	0.685167
2200	0.718742
2300	0.752905
2400	0.787628
2500	0.822881
2600	0.858637
2700	0.894870
2800	0.931554
2900	0.968664
3000	1.006178
3100	1.044071
3200	1.082323
3300	1.120913
3400	1.159819
3500	1.199023
3600	1.238506
3700	1.278250
3800	1.318237
3900	1.358452
4000	1.398877
4100	1.439497
4200	1.480299
4300	1.521267
4400	1.562388
4500	1.603649
4600	1.645038
4700	1.686541
4800	1.728148
4900	1.769848
5000	1.811629
5100	1.853482
5200	1.895397
5300	1.937364
5400	1.979374
5500	2.021418
5600	2.063489
5700	2.105577
5800	2.147676
5900	2.189778
6000	2.231876
