#﻿Frequency	Conductivity
100	0.293942
200	0.306618
300	0.316844
400	0.326641
500	0.336664
600	0.347200
700	0.358399
800	0.370343
900	0.383080
1000	0.396637
1100	0.411029
1200	0.426262
1300	0.442337
1400	0.459252
1500	0.477001
1600	0.495576
1700	0.514968
1800	0.535168
1900	0.556164
2000	0.577944
2100	0.600497
2200	0.623810
2300	0.647869
2400	0.672662
2500	0.698176
2600	0.724396
2700	0.751310
2800	0.778904
2900	0.807164
3000	0.836077
3100	0.865629
3200	0.895807
3300	0.926596
3400	0.957984
3500	0.989956
3600	1.022500
3700	1.055603
3800	1.089250
3900	1.123429
4000	1.158127
4100	1.193330
4200	1.229027
4300	1.265204
4400	1.301848
4500	1.338948
4600	1.376491
4700	1.414464
4800	1.452856
4900	1.491655
5000	1.530848
5100	1.570425
5200	1.610373
5300	1.650682
5400	1.691339
5500	1.732334
5600	1.773656
5700	1.815294
5800	1.857238
5900	1.899476
6000	1.941999
