#Frequency	Conductivity
100	0.751441
200	0.866568
300	0.946104
400	1.012120
500	1.071654
600	1.127872
700	1.182467
800	1.236440
900	1.290428
1000	1.344853
1100	1.400005
1200	1.456088
1300	1.513246
1400	1.571580
1500	1.631163
1600	1.692046
1700	1.754261
1800	1.817829
1900	1.882761
2000	1.949059
2100	2.016721
2200	2.085737
2300	2.156097
2400	2.227784
2500	2.300781
2600	2.375069
2700	2.450625
2800	2.527427
2900	2.605452
3000	2.684674
3100	2.765069
3200	2.846610
3300	2.929271
3400	3.013026
3500	3.097849
3600	3.183712
3700	3.270590
3800	3.358455
3900	3.447281
4000	3.537041
4100	3.627710
4200	3.719260
4300	3.811668
4400	3.904906
4500	3.998950
4600	4.093774
4700	4.189355
4800	4.285667
4900	4.382687
5000	4.480390
5100	4.578754
5200	4.677756
5300	4.777372
5400	4.877581
5500	4.978361
5600	5.079690
5700	5.181547
5800	5.283911
5900	5.386761
6000	5.490078
