#﻿Frequency	Conductivity
100	2.114290
200	2.189257
300	2.224507
400	2.251218
500	2.277675
600	2.306389
700	2.338250
800	2.373602
900	2.412574
1000	2.455199
1100	2.501467
1200	2.551344
1300	2.604785
1400	2.661740
1500	2.722153
1600	2.785970
1700	2.853134
1800	2.923587
1900	2.997274
2000	3.074137
2100	3.154122
2200	3.237171
2300	3.323231
2400	3.412248
2500	3.504166
2600	3.598932
2700	3.696495
2800	3.796800
2900	3.899797
3000	4.005433
3100	4.113657
3200	4.224419
3300	4.337669
3400	4.453357
3500	4.571433
3600	4.691849
3700	4.814556
3800	4.939506
3900	5.066652
4000	5.195947
4100	5.327343
4200	5.460796
4300	5.596258
4400	5.733685
4500	5.873032
4600	6.014254
4700	6.157308
4800	6.302149
4900	6.448736
5000	6.597024
5100	6.746973
5200	6.898540
5300	7.051684
5400	7.206365
5500	7.362542
5600	7.520176
5700	7.679226
5800	7.839655
5900	8.001423
6000	8.164494
