#﻿Frequency	Conductivity
100	0.159263
200	0.167727
300	0.174852
400	0.182174
500	0.190039
600	0.198558
700	0.207759
800	0.217643
900	0.228193
1000	0.239389
1100	0.251205
1200	0.263615
1300	0.276594
1400	0.290115
1500	0.304152
1600	0.318681
1700	0.333678
1800	0.349118
1900	0.364980
2000	0.381242
2100	0.397884
2200	0.414884
2300	0.432225
2400	0.449888
2500	0.467854
2600	0.486108
2700	0.504632
2800	0.523411
2900	0.542430
3000	0.561675
3100	0.581132
3200	0.600786
3300	0.620627
3400	0.640641
3500	0.660817
3600	0.681143
3700	0.701609
3800	0.722204
3900	0.742918
4000	0.763743
4100	0.784668
4200	0.805685
4300	0.826785
4400	0.847961
4500	0.869205
4600	0.890509
4700	0.911867
4800	0.933271
4900	0.954716
5000	0.976194
5100	0.997700
5200	1.019228
5300	1.040773
5400	1.062330
5500	1.083893
5600	1.105459
5700	1.127021
5800	1.148576
5900	1.170121
6000	1.191649
