#﻿Frequency	Conductivity
100	0.338192
200	0.385029
300	0.418383
400	0.446701
500	0.472800
600	0.497975
700	0.522929
800	0.548083
900	0.573706
1000	0.599979
1100	0.627026
1200	0.654935
1300	0.683766
1400	0.713565
1500	0.744363
1600	0.776180
1700	0.809031
1800	0.842924
1900	0.877862
2000	0.913846
2100	0.950872
2200	0.988936
2300	1.028031
2400	1.068149
2500	1.109278
2600	1.151409
2700	1.194530
2800	1.238627
2900	1.283688
3000	1.329700
3100	1.376647
3200	1.424515
3300	1.473290
3400	1.522956
3500	1.573498
3600	1.624901
3700	1.677148
3800	1.730224
3900	1.784114
4000	1.838801
4100	1.894270
4200	1.950504
4300	2.007488
4400	2.065205
4500	2.123641
4600	2.182778
4700	2.242603
4800	2.303098
4900	2.364248
5000	2.426038
5100	2.488453
5200	2.551476
5300	2.615094
5400	2.679290
5500	2.744051
5600	2.809360
5700	2.875205
5800	2.941569
5900	3.008439
6000	3.075800
