#﻿Frequency	Permitivity
100	55.100105
200	50.490718
300	48.951259
400	48.150843
500	47.642625
600	47.279530
700	46.998771
800	46.768969
900	46.572678
1000	46.399415
1100	46.242501
1200	46.097482
1300	45.961277
1400	45.831687
1500	45.707105
1600	45.586332
1700	45.468454
1800	45.352770
1900	45.238731
2000	45.125902
2100	45.013940
2200	44.902566
2300	44.791559
2400	44.680737
2500	44.569953
2600	44.459088
2700	44.348044
2800	44.236742
2900	44.125119
3000	44.013121
3100	43.900709
3200	43.787850
3300	43.674518
3400	43.560696
3500	43.446369
3600	43.331529
3700	43.216170
3800	43.100290
3900	42.983891
4000	42.866976
4100	42.749551
4200	42.631622
4300	42.513198
4400	42.394291
4500	42.274910
4600	42.155068
4700	42.034779
4800	41.914055
4900	41.792912
5000	41.671364
5100	41.549426
5200	41.427114
5300	41.304443
5400	41.181430
5500	41.058091
5600	40.934442
5700	40.810499
5800	40.686279
5900	40.561797
6000	40.437072
