#﻿Frequency	Conductivity
100	0.801585
200	0.900800
300	0.969080
400	1.025911
500	1.077539
600	1.126790
700	1.175182
800	1.223620
900	1.272681
1000	1.322751
1100	1.374098
1200	1.426910
1300	1.481322
1400	1.537432
1500	1.595309
1600	1.655003
1700	1.716548
1800	1.779965
1900	1.845267
2000	1.912459
2100	1.981539
2200	2.052502
2300	2.125338
2400	2.200033
2500	2.276572
2600	2.354937
2700	2.435106
2800	2.517060
2900	2.600774
3000	2.686225
3100	2.773388
3200	2.862236
3300	2.952743
3400	3.044883
3500	3.138627
3600	3.233948
3700	3.330817
3800	3.429207
3900	3.529087
4000	3.630430
4100	3.733207
4200	3.837389
4300	3.942947
4400	4.049851
4500	4.158073
4600	4.267585
4700	4.378357
4800	4.490361
4900	4.603568
5000	4.717951
5100	4.833480
5200	4.950128
5300	5.067868
5400	5.186671
5500	5.306510
5600	5.427358
5700	5.549189
5800	5.671975
5900	5.795690
6000	5.920308
