#﻿Frequency	Conductivity
100	1.013696
200	1.085925
300	1.117014
400	1.138305
500	1.158196
600	1.179283
700	1.202528
800	1.228338
900	1.256895
1000	1.288284
1100	1.322539
1200	1.359669
1300	1.399670
1400	1.442527
1500	1.488223
1600	1.536734
1700	1.588037
1800	1.642105
1900	1.698912
2000	1.758429
2100	1.820629
2200	1.885482
2300	1.952959
2400	2.023031
2500	2.095666
2600	2.170834
2700	2.248505
2800	2.328649
2900	2.411233
3000	2.496226
3100	2.583598
3200	2.673315
3300	2.765347
3400	2.859662
3500	2.956226
3600	3.055009
3700	3.155976
3800	3.259097
3900	3.364338
4000	3.471667
4100	3.581051
4200	3.692457
4300	3.805852
4400	3.921204
4500	4.038479
4600	4.157645
4700	4.278668
4800	4.401516
4900	4.526156
5000	4.652555
5100	4.780681
5200	4.910499
5300	5.041979
5400	5.175086
5500	5.309790
5600	5.446056
5700	5.583854
5800	5.723150
5900	5.863913
6000	6.006111
