#﻿Frequency	Permitivity
100	79.881195
200	78.697819
300	77.985105
400	77.470877
500	77.067382
600	76.734835
700	76.451740
800	76.205132
900	75.986580
1000	75.790287
1100	75.612093
1200	75.448910
1300	75.298382
1400	75.158669
1500	75.028308
1600	74.906114
1700	74.791118
1800	74.682510
1900	74.579613
2000	74.481851
2100	74.388734
2200	74.299836
2300	74.214790
2400	74.133273
2500	74.055001
2600	73.979726
2700	73.907224
2800	73.837297
2900	73.769768
3000	73.704477
3100	73.641279
3200	73.580044
3300	73.520652
3400	73.462996
3500	73.406977
3600	73.352503
3700	73.299492
3800	73.247866
3900	73.197555
4000	73.148493
4100	73.100620
4200	73.053879
4300	73.008217
4400	72.963585
4500	72.919939
4600	72.877235
4700	72.835433
4800	72.794496
4900	72.754389
5000	72.715078
5100	72.676533
5200	72.638725
5300	72.601625
5400	72.565207
5500	72.529447
5600	72.494322
5700	72.459808
5800	72.425886
5900	72.392535
6000	72.359737
