#Frequency	Conductivity
100	0.029961
200	0.031208
300	0.032713
400	0.034558
500	0.036755
600	0.039302
700	0.042193
800	0.045417
900	0.048965
1000	0.052824
1100	0.056984
1200	0.061434
1300	0.066162
1400	0.071157
1500	0.076407
1600	0.081903
1700	0.087634
1800	0.093588
1900	0.099755
2000	0.106125
2100	0.112688
2200	0.119435
2300	0.126355
2400	0.133439
2500	0.140677
2600	0.148062
2700	0.155584
2800	0.163235
2900	0.171006
3000	0.178889
3100	0.186877
3200	0.194961
3300	0.203136
3400	0.211393
3500	0.219725
3600	0.228127
3700	0.236591
3800	0.245112
3900	0.253684
4000	0.262300
4100	0.270955
4200	0.279645
4300	0.288363
4400	0.297106
4500	0.305868
4600	0.314644
4700	0.323432
4800	0.332226
4900	0.341022
5000	0.349818
5100	0.358609
5200	0.367392
5300	0.376163
5400	0.384920
5500	0.393660
5600	0.402380
5700	0.411078
5800	0.419750
5900	0.428394
6000	0.437009
