#﻿Frequency	Permitivity
100	67.108383
200	59.150232
300	56.189183
400	54.583892
500	53.550093
600	52.813096
700	52.250621
800	51.799610
900	51.424108
1000	51.102056
1100	50.819143
1200	50.565662
1300	50.334797
1400	50.121614
1500	49.922456
1600	49.734552
1700	49.555769
1800	49.384436
1900	49.219228
2000	49.059083
2100	48.903138
2200	48.750688
2300	48.601153
2400	48.454049
2500	48.308974
2600	48.165590
2700	48.023612
2800	47.882797
2900	47.742941
3000	47.603869
3100	47.465432
3200	47.327503
3300	47.189971
3400	47.052745
3500	46.915743
3600	46.778899
3700	46.642154
3800	46.505459
3900	46.368771
4000	46.232057
4100	46.095285
4200	45.958432
4300	45.821479
4400	45.684409
4500	45.547209
4600	45.409870
4700	45.272386
4800	45.134751
4900	44.996964
5000	44.859024
5100	44.720932
5200	44.582690
5300	44.444304
5400	44.305776
5500	44.167114
5600	44.028325
5700	43.889415
5800	43.750394
5900	43.611270
6000	43.472052
