#﻿Frequency	Conductivity
100	0.461770
200	0.508613
300	0.537039
400	0.561492
500	0.585585
600	0.610636
700	0.637236
800	0.665682
900	0.696131
1000	0.728670
1100	0.763341
1200	0.800164
1300	0.839139
1400	0.880259
1500	0.923506
1600	0.968860
1700	1.016295
1800	1.065784
1900	1.117296
2000	1.170801
2100	1.226265
2200	1.283656
2300	1.342940
2400	1.404082
2500	1.467048
2600	1.531802
2700	1.598311
2800	1.666539
2900	1.736450
3000	1.808010
3100	1.881184
3200	1.955937
3300	2.032235
3400	2.110042
3500	2.189326
3600	2.270050
3700	2.352183
3800	2.435689
3900	2.520537
4000	2.606692
4100	2.694122
4200	2.782795
4300	2.872678
4400	2.963739
4500	3.055948
4600	3.149272
4700	3.243681
4800	3.339144
4900	3.435632
5000	3.533114
5100	3.631561
5200	3.730945
5300	3.831235
5400	3.932404
5500	4.034425
5600	4.137269
5700	4.240909
5800	4.345318
5900	4.450470
6000	4.556340
