#﻿Frequency	Conductivity
100	0.305697
200	0.335336
300	0.356377
400	0.374336
500	0.391014
600	0.407230
700	0.423425
800	0.439862
900	0.456705
1000	0.474066
1100	0.492019
1200	0.510617
1300	0.529895
1400	0.549880
1500	0.570588
1600	0.592031
1700	0.614216
1800	0.637144
1900	0.660818
2000	0.685234
2100	0.710390
2200	0.736281
2300	0.762900
2400	0.790241
2500	0.818296
2600	0.847056
2700	0.876512
2800	0.906655
2900	0.937475
3000	0.968963
3100	1.001107
3200	1.033897
3300	1.067323
3400	1.101373
3500	1.136037
3600	1.171303
3700	1.207161
3800	1.243598
3900	1.280605
4000	1.318169
4100	1.356280
4200	1.394926
4300	1.434096
4400	1.473778
4500	1.513963
4600	1.554637
4700	1.595792
4800	1.637415
4900	1.679495
5000	1.722022
5100	1.764985
5200	1.808373
5300	1.852176
5400	1.896383
5500	1.940984
5600	1.985968
5700	2.031325
5800	2.077045
5900	2.123118
6000	2.169534
