#﻿Frequency	Conductivity
100	0.794307
200	0.825265
300	0.851245
400	0.877190
500	0.904635
600	0.934238
700	0.966322
800	1.001060
900	1.038542
1000	1.078814
1100	1.121894
1200	1.167783
1300	1.216467
1400	1.267929
1500	1.322141
1600	1.379076
1700	1.438699
1800	1.500978
1900	1.565875
2000	1.633353
2100	1.703373
2200	1.775897
2300	1.850886
2400	1.928299
2500	2.008095
2600	2.090236
2700	2.174681
2800	2.261388
2900	2.350319
3000	2.441431
3100	2.534687
3200	2.630044
3300	2.727464
3400	2.826906
3500	2.928331
3600	3.031699
3700	3.136972
3800	3.244110
3900	3.353075
4000	3.463828
4100	3.576331
4200	3.690547
4300	3.806438
4400	3.923966
4500	4.043095
4600	4.163787
4700	4.286008
4800	4.409720
4900	4.534888
5000	4.661477
5100	4.789451
5200	4.918777
5300	5.049421
5400	5.181347
5500	5.314523
5600	5.448915
5700	5.584491
5800	5.721219
5900	5.859066
6000	5.998001
