#﻿Frequency	Conductivity
100	0.603628
200	0.618179
300	0.633015
400	0.648018
500	0.663136
600	0.678339
700	0.693608
800	0.708931
900	0.724298
1000	0.739704
1100	0.755142
1200	0.770608
1300	0.786100
1400	0.801613
1500	0.817146
1600	0.832696
1700	0.848263
1800	0.863844
1900	0.879438
2000	0.895045
2100	0.910662
2200	0.926290
2300	0.941927
2400	0.957572
2500	0.973226
2600	0.988887
2700	1.004556
2800	1.020230
2900	1.035911
3000	1.051597
3100	1.067289
3200	1.082986
3300	1.098687
3400	1.114393
3500	1.130103
3600	1.145817
3700	1.161534
3800	1.177255
3900	1.192979
4000	1.208706
4100	1.224435
4200	1.240168
4300	1.255903
4400	1.271640
4500	1.287380
4600	1.303122
4700	1.318866
4800	1.334611
4900	1.350359
5000	1.366108
5100	1.381859
5200	1.397611
5300	1.413365
5400	1.429119
5500	1.444876
5600	1.460633
5700	1.476391
5800	1.492151
5900	1.507911
6000	1.523672
