#﻿Frequency	Conductivity
100	0.641747
200	0.653986
300	0.666373
400	0.678845
500	0.691375
600	0.703948
700	0.716555
800	0.729189
900	0.741845
1000	0.754521
1100	0.767213
1200	0.779918
1300	0.792637
1400	0.805366
1500	0.818105
1600	0.830853
1700	0.843609
1800	0.856372
1900	0.869141
2000	0.881917
2100	0.894698
2200	0.907484
2300	0.920275
2400	0.933070
2500	0.945869
2600	0.958672
2700	0.971478
2800	0.984287
2900	0.997100
3000	1.009915
3100	1.022733
3200	1.035553
3300	1.048375
3400	1.061200
3500	1.074027
3600	1.086855
3700	1.099686
3800	1.112518
3900	1.125351
4000	1.138187
4100	1.151023
4200	1.163861
4300	1.176700
4400	1.189540
4500	1.202381
4600	1.215224
4700	1.228067
4800	1.240911
4900	1.253756
5000	1.266602
5100	1.279449
5200	1.292296
5300	1.305144
5400	1.317993
5500	1.330842
5600	1.343692
5700	1.356542
5800	1.369393
5900	1.382244
6000	1.395096
