#﻿Frequency	Permitivity
100	14.289148
200	12.641420
300	12.132256
400	11.867042
500	11.692093
600	11.560139
700	11.451933
800	11.358196
900	11.273916
1000	11.196153
1100	11.123078
1200	11.053493
1300	10.986586
1400	10.921787
1500	10.858691
1600	10.796997
1700	10.736484
1800	10.676984
1900	10.618367
2000	10.560535
2100	10.503411
2200	10.446932
2300	10.391052
2400	10.335733
2500	10.280943
2600	10.226660
2700	10.172862
2800	10.119535
2900	10.066666
3000	10.014244
3100	9.962262
3200	9.910712
3300	9.859590
3400	9.808890
3500	9.758609
3600	9.708744
3700	9.659292
3800	9.610250
3900	9.561618
4000	9.513392
4100	9.465572
4200	9.418156
4300	9.371143
4400	9.324530
4500	9.278317
4600	9.232503
4700	9.187085
4800	9.142062
4900	9.097433
5000	9.053196
5100	9.009350
5200	8.965892
5300	8.922822
5400	8.880136
5500	8.837834
5600	8.795912
5700	8.754369
5800	8.713204
5900	8.672413
6000	8.631994
