#﻿Frequency	Conductivity
100	0.674026
200	0.714023
300	0.744902
400	0.773809
500	0.802990
600	0.833427
700	0.865626
800	0.899871
900	0.936326
1000	0.975091
1100	1.016224
1200	1.059756
1300	1.105698
1400	1.154053
1500	1.204811
1600	1.257958
1700	1.313475
1800	1.371337
1900	1.431519
2000	1.493993
2100	1.558730
2200	1.625697
2300	1.694863
2400	1.766195
2500	1.839659
2600	1.915222
2700	1.992849
2800	2.072506
2900	2.154157
3000	2.237768
3100	2.323303
3200	2.410728
3300	2.500007
3400	2.591106
3500	2.683990
3600	2.778623
3700	2.874971
3800	2.972999
3900	3.072674
4000	3.173960
4100	3.276825
4200	3.381233
4300	3.487151
4400	3.594547
4500	3.703387
4600	3.813638
4700	3.925267
4800	4.038243
4900	4.152533
5000	4.268106
5100	4.384930
5200	4.502974
5300	4.622207
5400	4.742599
5500	4.864119
5600	4.986738
5700	5.110427
5800	5.235155
5900	5.360894
6000	5.487616
