#﻿Frequency	Conductivity
100	1.036894
200	1.102800
300	1.150840
400	1.192768
500	1.232463
600	1.271692
700	1.311407
800	1.352167
900	1.394325
1000	1.438114
1100	1.483688
1200	1.531153
1300	1.580580
1400	1.632016
1500	1.685491
1600	1.741022
1700	1.798615
1800	1.858269
1900	1.919979
2000	1.983732
2100	2.049514
2200	2.117306
2300	2.187089
2400	2.258839
2500	2.332533
2600	2.408145
2700	2.485649
2800	2.565017
2900	2.646221
3000	2.729232
3100	2.814021
3200	2.900558
3300	2.988813
3400	3.078756
3500	3.170357
3600	3.263584
3700	3.358406
3800	3.454794
3900	3.552716
4000	3.652142
4100	3.753040
4200	3.855381
4300	3.959133
4400	4.064266
4500	4.170750
4600	4.278555
4700	4.387651
4800	4.498007
4900	4.609595
5000	4.722385
5100	4.836347
5200	4.951454
5300	5.067676
5400	5.184985
5500	5.303352
5600	5.422751
5700	5.543153
5800	5.664530
5900	5.786857
6000	5.910106
