#﻿Frequency	Permitivity
100	6.488144
200	5.929116
300	5.758543
400	5.672847
500	5.618976
600	5.580425
700	5.550415
800	5.525651
900	5.504339
1000	5.485419
1100	5.468223
1200	5.452311
1300	5.437380
1400	5.423215
1500	5.409660
1600	5.396598
1700	5.383941
1800	5.371619
1900	5.359581
2000	5.347783
2100	5.336190
2200	5.324776
2300	5.313518
2400	5.302397
2500	5.291398
2600	5.280508
2700	5.269716
2800	5.259013
2900	5.248392
3000	5.237847
3100	5.227371
3200	5.216959
3300	5.206609
3400	5.196317
3500	5.186079
3600	5.175893
3700	5.165756
3800	5.155668
3900	5.145626
4000	5.135630
4100	5.125677
4200	5.115767
4300	5.105899
4400	5.096072
4500	5.086286
4600	5.076540
4700	5.066833
4800	5.057166
4900	5.047538
5000	5.037948
5100	5.028397
5200	5.018884
5300	5.009410
5400	4.999973
5500	4.990574
5600	4.981214
5700	4.971891
5800	4.962606
5900	4.953358
6000	4.944149
