#﻿Frequency	Conductivity
100	0.474596
200	0.517518
300	0.552514
400	0.586424
500	0.621324
600	0.658068
700	0.697055
800	0.738474
900	0.782406
1000	0.828872
1100	0.877857
1200	0.929325
1300	0.983223
1400	1.039494
1500	1.098070
1600	1.158882
1700	1.221859
1800	1.286929
1900	1.354019
2000	1.423055
2100	1.493966
2200	1.566679
2300	1.641125
2400	1.717234
2500	1.794937
2600	1.874167
2700	1.954860
2800	2.036951
2900	2.120377
3000	2.205078
3100	2.290993
3200	2.378065
3300	2.466237
3400	2.555454
3500	2.645662
3600	2.736809
3700	2.828845
3800	2.921719
3900	3.015385
4000	3.109795
4100	3.204904
4200	3.300670
4300	3.397048
4400	3.493999
4500	3.591482
4600	3.689459
4700	3.787891
4800	3.886744
4900	3.985982
5000	4.085572
5100	4.185479
5200	4.285673
5300	4.386124
5400	4.486801
5500	4.587675
5600	4.688721
5700	4.789910
5800	4.891217
5900	4.992618
6000	5.094089
