#﻿Frequency	Permitivity
100	5.690273
200	5.584075
300	5.541821
400	5.514871
500	5.493674
600	5.475067
700	5.457706
800	5.440931
900	5.424389
1000	5.407877
1100	5.391274
1200	5.374510
1300	5.357543
1400	5.340351
1500	5.322923
1600	5.305256
1700	5.287355
1800	5.269227
1900	5.250881
2000	5.232330
2100	5.213586
2200	5.194663
2300	5.175577
2400	5.156340
2500	5.136968
2600	5.117476
2700	5.097877
2800	5.078186
2900	5.058417
3000	5.038583
3100	5.018697
3200	4.998771
3300	4.978818
3400	4.958850
3500	4.938877
3600	4.918910
3700	4.898961
3800	4.879037
3900	4.859150
4000	4.839308
4100	4.819519
4200	4.799791
4300	4.780132
4400	4.760550
4500	4.741050
4600	4.721640
4700	4.702326
4800	4.683113
4900	4.664007
5000	4.645012
5100	4.626133
5200	4.607375
5300	4.588741
5400	4.570236
5500	4.551862
5600	4.533623
5700	4.515522
5800	4.497562
5900	4.479744
6000	4.462072
