#﻿Frequency	Conductivity
100	0.707606
200	0.743087
300	0.770530
400	0.796319
500	0.822462
600	0.849837
700	0.878895
800	0.909886
900	0.942960
1000	0.978204
1100	1.015670
1200	1.055384
1300	1.097361
1400	1.141600
1500	1.188096
1600	1.236836
1700	1.287803
1800	1.340979
1900	1.396341
2000	1.453866
2100	1.513529
2200	1.575303
2300	1.639161
2400	1.705076
2500	1.773019
2600	1.842962
2700	1.914875
2800	1.988729
2900	2.064494
3000	2.142142
3100	2.221642
3200	2.302965
3300	2.386080
3400	2.470959
3500	2.557571
3600	2.645887
3700	2.735877
3800	2.827512
3900	2.920763
4000	3.015600
4100	3.111994
4200	3.209917
4300	3.309339
4400	3.410232
4500	3.512567
4600	3.616317
4700	3.721453
4800	3.827947
4900	3.935771
5000	4.044899
5100	4.155303
5200	4.266955
5300	4.379830
5400	4.493900
5500	4.609138
5600	4.725520
5700	4.843019
5800	4.961609
5900	5.081265
6000	5.201962
