#﻿Frequency	Conductivity
100	0.904554
200	0.944551
300	0.975430
400	1.004337
500	1.033518
600	1.063955
700	1.096154
800	1.130399
900	1.166854
1000	1.205619
1100	1.246752
1200	1.290284
1300	1.336226
1400	1.384581
1500	1.435339
1600	1.488486
1700	1.544003
1800	1.601865
1900	1.662047
2000	1.724521
2100	1.789258
2200	1.856225
2300	1.925391
2400	1.996723
2500	2.070187
2600	2.145750
2700	2.223377
2800	2.303034
2900	2.384685
3000	2.468296
3100	2.553831
3200	2.641256
3300	2.730535
3400	2.821634
3500	2.914518
3600	3.009151
3700	3.105499
3800	3.203527
3900	3.303202
4000	3.404488
4100	3.507353
4200	3.611761
4300	3.717679
4400	3.825075
4500	3.933915
4600	4.044166
4700	4.155795
4800	4.268771
4900	4.383061
5000	4.498634
5100	4.615458
5200	4.733502
5300	4.852735
5400	4.973127
5500	5.094647
5600	5.217266
5700	5.340955
5800	5.465683
5900	5.591422
6000	5.718144
