#﻿Frequency	Permitivity
100	90.658830
200	72.736706
300	66.491023
400	63.223747
500	61.176061
600	59.751131
700	58.688547
800	57.855900
900	57.178478
1000	56.610811
1100	56.123587
1200	55.697028
1300	55.317294
1400	54.974401
1500	54.660963
1600	54.371394
1700	54.101396
1800	53.847602
1900	53.607342
2000	53.378470
2100	53.159244
2200	52.948234
2300	52.744257
2400	52.546328
2500	52.353619
2600	52.165431
2700	51.981170
2800	51.800330
2900	51.622475
3000	51.447231
3100	51.274275
3200	51.103326
3300	50.934141
3400	50.766507
3500	50.600239
3600	50.435175
3700	50.271171
3800	50.108104
3900	49.945865
4000	49.784356
4100	49.623494
4200	49.463205
4300	49.303423
4400	49.144092
4500	48.985161
4600	48.826587
4700	48.668333
4800	48.510364
4900	48.352653
5000	48.195175
5100	48.037909
5200	47.880837
5300	47.723944
5400	47.567218
5500	47.410650
5600	47.254230
5700	47.097953
5800	46.941814
5900	46.785810
6000	46.629940
