#﻿Frequency	Conductivity
100	0.559475
200	0.638744
300	0.692411
400	0.737494
500	0.779085
600	0.819411
700	0.859642
800	0.900460
900	0.942295
1000	0.985429
1100	1.030051
1200	1.076294
1300	1.124250
1400	1.173980
1500	1.225529
1600	1.278923
1700	1.334179
1800	1.391305
1900	1.450300
2000	1.511159
2100	1.573875
2200	1.638433
2300	1.704818
2400	1.773013
2500	1.842998
2600	1.914751
2700	1.988249
2800	2.063469
2900	2.140386
3000	2.218974
3100	2.299208
3200	2.381061
3300	2.464506
3400	2.549515
3500	2.636062
3600	2.724117
3700	2.813653
3800	2.904642
3900	2.997057
4000	3.090867
4100	3.186046
4200	3.282565
4300	3.380397
4400	3.479512
4500	3.579883
4600	3.681483
4700	3.784283
4800	3.888256
4900	3.993374
5000	4.099611
5100	4.206940
5200	4.315333
5300	4.424764
5400	4.535207
5500	4.646635
5600	4.759023
5700	4.872345
5800	4.986575
5900	5.101689
6000	5.217661
