#﻿Frequency	Conductivity
100	0.790348
200	0.901814
300	0.973235
400	1.030379
500	1.080832
600	1.127892
700	1.173295
800	1.218059
900	1.262835
1000	1.308054
1100	1.354017
1200	1.400939
1300	1.448973
1400	1.498236
1500	1.548809
1600	1.600757
1700	1.654122
1800	1.708939
1900	1.765229
2000	1.823005
2100	1.882276
2200	1.943043
2300	2.005305
2400	2.069056
2500	2.134288
2600	2.200989
2700	2.269148
2800	2.338748
2900	2.409775
3000	2.482210
3100	2.556036
3200	2.631232
3300	2.707779
3400	2.785657
3500	2.864843
3600	2.945316
3700	3.027054
3800	3.110034
3900	3.194235
4000	3.279632
4100	3.366204
4200	3.453926
4300	3.542776
4400	3.632730
4500	3.723765
4600	3.815858
4700	3.908986
4800	4.003124
4900	4.098251
5000	4.194343
5100	4.291378
5200	4.389331
5300	4.488181
5400	4.587906
5500	4.688482
5600	4.789888
5700	4.892101
5800	4.995100
5900	5.098864
6000	5.203369
