#﻿Frequency	Conductivity
100	0.068416
200	0.072605
300	0.076475
400	0.080677
500	0.085351
600	0.090535
700	0.096238
800	0.102454
900	0.109173
1000	0.116382
1100	0.124068
1200	0.132216
1300	0.140814
1400	0.149847
1500	0.159304
1600	0.169170
1700	0.179434
1800	0.190085
1900	0.201110
2000	0.212498
2100	0.224240
2200	0.236323
2300	0.248740
2400	0.261479
2500	0.274531
2600	0.287888
2700	0.301540
2800	0.315478
2900	0.329695
3000	0.344182
3100	0.358931
3200	0.373935
3300	0.389185
3400	0.404676
3500	0.420399
3600	0.436348
3700	0.452516
3800	0.468896
3900	0.485483
4000	0.502269
4100	0.519249
4200	0.536416
4300	0.553766
4400	0.571292
4500	0.588988
4600	0.606850
4700	0.624873
4800	0.643050
4900	0.661377
5000	0.679850
5100	0.698463
5200	0.717211
5300	0.736091
5400	0.755098
5500	0.774227
5600	0.793474
5700	0.812835
5800	0.832306
5900	0.851883
6000	0.871563
