#﻿Frequency	Conductivity
100	0.487230
200	0.558527
300	0.609866
400	0.653863
500	0.694737
600	0.734427
700	0.773986
800	0.814041
900	0.854992
1000	0.897103
1100	0.940557
1200	0.985477
1300	1.031952
1400	1.080041
1500	1.129784
1600	1.181208
1700	1.234326
1800	1.289145
1900	1.345665
2000	1.403878
2100	1.463774
2200	1.525339
2300	1.588557
2400	1.653409
2500	1.719873
2600	1.787927
2700	1.857546
2800	1.928707
2900	2.001383
3000	2.075547
3100	2.151173
3200	2.228233
3300	2.306698
3400	2.386541
3500	2.467733
3600	2.550244
3700	2.634047
3800	2.719112
3900	2.805410
4000	2.892913
4100	2.981591
4200	3.071416
4300	3.162359
4400	3.254391
4500	3.347485
4600	3.441612
4700	3.536744
4800	3.632853
4900	3.729912
5000	3.827893
5100	3.926769
5200	4.026514
5300	4.127102
5400	4.228505
5500	4.330698
5600	4.433655
5700	4.537352
5800	4.641762
5900	4.746862
6000	4.852627
