#﻿Frequency	Conductivity
100	0.733017
200	0.832776
300	0.904208
400	0.964650
500	1.019979
600	1.072937
700	1.125021
800	1.177139
900	1.229876
1000	1.283626
1100	1.338665
1200	1.395189
1300	1.453340
1400	1.513221
1500	1.574905
1600	1.638446
1700	1.703881
1800	1.771235
1900	1.840522
2000	1.911749
2100	1.984916
2200	2.060018
2300	2.137047
2400	2.215989
2500	2.296829
2600	2.379550
2700	2.464131
2800	2.550551
2900	2.638786
3000	2.728813
3100	2.820606
3200	2.914139
3300	3.009384
3400	3.106315
3500	3.204902
3600	3.305118
3700	3.406934
3800	3.510320
3900	3.615247
4000	3.721686
4100	3.829606
4200	3.938979
4300	4.049774
4400	4.161961
4500	4.275511
4600	4.390394
4700	4.506581
4800	4.624041
4900	4.742746
5000	4.862666
5100	4.983773
5200	5.106036
5300	5.229429
5400	5.353921
5500	5.479485
5600	5.606093
5700	5.733716
5800	5.862328
5900	5.991901
6000	6.122407
