#﻿Frequency	Permitivity
100	79.977972
200	69.676632
300	66.241029
400	64.466311
500	63.353245
600	62.571747
700	61.980294
800	61.507838
900	61.114684
1000	60.776876
1100	60.479074
1200	60.210998
1300	59.965493
1400	59.737431
1500	59.523037
1600	59.319473
1700	59.124568
1800	58.936633
1900	58.754338
2000	58.576620
2100	58.402626
2200	58.231658
2300	58.063148
2400	57.896626
2500	57.731702
2600	57.568052
2700	57.405403
2800	57.243529
2900	57.082236
3000	56.921363
3100	56.760774
3200	56.600354
3300	56.440004
3400	56.279645
3500	56.119206
3600	55.958632
3700	55.797874
3800	55.636894
3900	55.475659
4000	55.314145
4100	55.152331
4200	54.990202
4300	54.827748
4400	54.664960
4500	54.501836
4600	54.338373
4700	54.174574
4800	54.010441
4900	53.845979
5000	53.681197
5100	53.516102
5200	53.350703
5300	53.185012
5400	53.019041
5500	52.852802
5600	52.686308
5700	52.519574
5800	52.352613
5900	52.185441
6000	52.018074
