#Frequency	Permitivity
100	55.757075
200	49.160986
300	46.774295
400	45.468472
500	44.604614
600	43.965249
700	43.455464
800	43.027066
900	42.652943
1000	42.316662
1100	42.007693
1200	41.718982
1300	41.445640
1400	41.184175
1500	40.932041
1600	40.687341
1700	40.448642
1800	40.214844
1900	39.985095
2000	39.758730
2100	39.535224
2200	39.314163
2300	39.095216
2400	38.878121
2500	38.662667
2600	38.448687
2700	38.236047
2800	38.024642
2900	37.814389
3000	37.605223
3100	37.397094
3200	37.189965
3300	36.983808
3400	36.778604
3500	36.574340
3600	36.371010
3700	36.168611
3800	35.967145
3900	35.766615
4000	35.567028
4100	35.368393
4200	35.170719
4300	34.974018
4400	34.778302
4500	34.583582
4600	34.389872
4700	34.197183
4800	34.005530
4900	33.814924
5000	33.625378
5100	33.436905
5200	33.249515
5300	33.063221
5400	32.878034
5500	32.693963
5600	32.511018
5700	32.329209
5800	32.148545
5900	31.969033
6000	31.790682
