#﻿Frequency	Conductivity
100	1.750000
200	1.750000
300	1.750000
400	1.750000
500	1.750000
600	1.750000
700	1.750000
800	1.750000
900	1.750000
1000	1.750000
1100	1.750000
1200	1.750000
1300	1.750000
1400	1.750000
1500	1.750000
1600	1.750000
1700	1.750000
1800	1.750000
1900	1.750000
2000	1.750000
2100	1.750000
2200	1.750000
2300	1.750000
2400	1.750000
2500	1.750000
2600	1.750000
2700	1.750000
2800	1.750000
2900	1.750000
3000	1.750000
3100	1.750000
3200	1.750000
3300	1.750000
3400	1.750000
3500	1.750000
3600	1.750000
3700	1.750000
3800	1.750000
3900	1.750000
4000	1.750000
4100	1.750000
4200	1.750000
4300	1.750000
4400	1.750000
4500	1.750000
4600	1.750000
4700	1.750000
4800	1.750000
4900	1.750000
5000	1.750000
5100	1.750000
5200	1.750000
5300	1.750000
5400	1.750000
5500	1.750000
5600	1.750000
5700	1.750000
5800	1.750000
5900	1.750000
6000	1.750000
