#﻿Frequency	Permitivity
100	77.899439
200	71.044862
300	68.711258
400	67.486616
500	66.705525
600	66.146649
700	65.714766
800	65.361993
900	65.061569
1000	64.797343
1100	64.558986
1200	64.339583
1300	64.134333
1400	63.939801
1500	63.753467
1600	63.573445
1700	63.398296
1800	63.226907
1900	63.058406
2000	62.892103
2100	62.727446
2200	62.563989
2300	62.401373
2400	62.239304
2500	62.077542
2600	61.915890
2700	61.754186
2800	61.592298
2900	61.430118
3000	61.267557
3100	61.104543
3200	60.941018
3300	60.776936
3400	60.612261
3500	60.446965
3600	60.281028
3700	60.114435
3800	59.947180
3900	59.779256
4000	59.610664
4100	59.441408
4200	59.271494
4300	59.100930
4400	58.929728
4500	58.757900
4600	58.585461
4700	58.412426
4800	58.238814
4900	58.064642
5000	57.889929
5100	57.714695
5200	57.538961
5300	57.362746
5400	57.186073
5500	57.008963
5600	56.831437
5700	56.653519
5800	56.475229
5900	56.296591
6000	56.117626
