#﻿Frequency	Permitivity
100	55.211486
200	54.266126
300	53.704278
400	53.302000
500	52.988013
600	52.730264
700	52.511531
800	52.321482
900	52.153420
1000	52.002754
1100	51.866202
1200	51.741331
1300	51.626290
1400	51.519636
1500	51.420224
1600	51.327128
1700	51.239590
1800	51.156980
1900	51.078771
2000	51.004516
2100	50.933833
2200	50.866392
2300	50.801908
2400	50.740132
2500	50.680844
2600	50.623852
2700	50.568983
2800	50.516084
2900	50.465019
3000	50.415664
3100	50.367908
3200	50.321651
3300	50.276800
3400	50.233273
3500	50.190993
3600	50.149892
3700	50.109904
3800	50.070971
3900	50.033039
4000	49.996057
4100	49.959979
4200	49.924761
4300	49.890364
4400	49.856750
4500	49.823884
4600	49.791733
4700	49.760267
4800	49.729458
4900	49.699278
5000	49.669702
5100	49.640706
5200	49.612269
5300	49.584368
5400	49.556985
5500	49.530099
5600	49.503694
5700	49.477753
5800	49.452259
5900	49.427197
6000	49.402553
