#﻿Frequency	Conductivity
100	0.324044
200	0.376870
300	0.413363
400	0.444644
500	0.473922
600	0.502585
700	0.531363
800	0.560681
900	0.590807
1000	0.621917
1100	0.654130
1200	0.687529
1300	0.722169
1400	0.758089
1500	0.795316
1600	0.833865
1700	0.873745
1800	0.914959
1900	0.957505
2000	1.001380
2100	1.046575
2200	1.093080
2300	1.140884
2400	1.189974
2500	1.240334
2600	1.291949
2700	1.344804
2800	1.398880
2900	1.454160
3000	1.510625
3100	1.568258
3200	1.627038
3300	1.686947
3400	1.747966
3500	1.810074
3600	1.873252
3700	1.937479
3800	2.002736
3900	2.069003
4000	2.136260
4100	2.204487
4200	2.273663
4300	2.343768
4400	2.414784
4500	2.486689
4600	2.559465
4700	2.633091
4800	2.707548
4900	2.782817
5000	2.858877
5100	2.935711
5200	3.013299
5300	3.091622
5400	3.170661
5500	3.250399
5600	3.330816
5700	3.411894
5800	3.493615
5900	3.575962
6000	3.658917
