#﻿Frequency	Conductivity
100	0.002301
200	0.009203
300	0.020703
400	0.036798
500	0.057483
600	0.082750
700	0.112592
800	0.146997
900	0.185956
1000	0.229456
1100	0.277481
1200	0.330016
1300	0.387044
1400	0.448546
1500	0.514502
1600	0.584891
1700	0.659690
1800	0.738874
1900	0.822417
2000	0.910294
2100	1.002476
2200	1.098932
2300	1.199633
2400	1.304547
2500	1.413639
2600	1.526876
2700	1.644222
2800	1.765641
2900	1.891094
3000	2.020543
3100	2.153947
3200	2.291266
3300	2.432458
3400	2.577480
3500	2.726288
3600	2.878837
3700	3.035082
3800	3.194976
3900	3.358473
4000	3.525523
4100	3.696079
4200	3.870092
4300	4.047510
4400	4.228283
4500	4.412361
4600	4.599691
4700	4.790220
4800	4.983897
4900	5.180667
5000	5.380478
5100	5.583274
5200	5.789001
5300	5.997604
5400	6.209029
5500	6.423220
5600	6.640121
5700	6.859677
5800	7.081831
5900	7.306527
6000	7.533709
