#﻿Frequency	Conductivity
100	0.558825
200	0.610319
300	0.648934
400	0.683481
500	0.716876
600	0.750450
700	0.784909
800	0.820673
900	0.857998
1000	0.897053
1100	0.937946
1200	0.980750
1300	1.025510
1400	1.072255
1500	1.120998
1600	1.171746
1700	1.224496
1800	1.279239
1900	1.335964
2000	1.394654
2100	1.455291
2200	1.517855
2300	1.582321
2400	1.648667
2500	1.716868
2600	1.786896
2700	1.858726
2800	1.932329
2900	2.007677
3000	2.084742
3100	2.163495
3200	2.243907
3300	2.325948
3400	2.409589
3500	2.494801
3600	2.581554
3700	2.669817
3800	2.759563
3900	2.850760
4000	2.943380
4100	3.037393
4200	3.132770
4300	3.229482
4400	3.327499
4500	3.426793
4600	3.527335
4700	3.629097
4800	3.732050
4900	3.836166
5000	3.941418
5100	4.047777
5200	4.155217
5300	4.263710
5400	4.373230
5500	4.483749
5600	4.595241
5700	4.707681
5800	4.821042
5900	4.935299
6000	5.050426
