#﻿Frequency	Permitivity
100	72.929261
200	55.715835
300	49.821138
400	46.786503
500	44.914959
600	43.634731
700	42.697660
800	41.978053
900	41.405194
1000	40.936136
1100	40.543230
1200	40.207838
1300	39.916923
1400	39.661078
1500	39.433340
1600	39.228441
1700	39.042316
1800	38.871780
1900	38.714299
2000	38.567830
2100	38.430710
2200	38.301569
2300	38.179269
2400	38.062856
2500	37.951525
2600	37.844593
2700	37.741474
2800	37.641666
2900	37.544735
3000	37.450302
3100	37.358038
3200	37.267655
3300	37.178899
3400	37.091548
3500	37.005403
3600	36.920289
3700	36.836052
3800	36.752551
3900	36.669663
4000	36.587278
4100	36.505296
4200	36.423628
4300	36.342196
4400	36.260926
4500	36.179756
4600	36.098626
4700	36.017486
4800	35.936288
4900	35.854991
5000	35.773556
5100	35.691950
5200	35.610144
5300	35.528109
5400	35.445823
5500	35.363263
5600	35.280411
5700	35.197251
5800	35.113767
5900	35.029947
6000	34.945780
