#﻿Frequency	Permitivity
100	90.816467
200	75.205443
300	69.307492
400	66.099072
500	64.038565
600	62.580044
700	61.478560
800	60.607003
900	59.892514
1000	59.290184
1100	58.770753
1200	58.314302
1300	57.906783
1400	57.537992
1500	57.200333
1600	56.888034
1700	56.596625
1800	56.322595
1900	56.063144
2000	55.816013
2100	55.579364
2200	55.351679
2300	55.131703
2400	54.918383
2500	54.710835
2600	54.508308
2700	54.310163
2800	54.115853
2900	53.924908
3000	53.736922
3100	53.551543
3200	53.368465
3300	53.187421
3400	53.008178
3500	52.830533
3600	52.654305
3700	52.479339
3800	52.305494
3900	52.132649
4000	51.960697
4100	51.789543
4200	51.619103
4300	51.449303
4400	51.280078
4500	51.111372
4600	50.943133
4700	50.775319
4800	50.607889
4900	50.440810
5000	50.274054
5100	50.107594
5200	49.941409
5300	49.775480
5400	49.609792
5500	49.444330
5600	49.279085
5700	49.114047
5800	48.949209
5900	48.784566
6000	48.620114
