#﻿Frequency	Conductivity
100	1.504243
200	1.509366
300	1.517700
400	1.529286
500	1.544134
600	1.562248
700	1.583627
800	1.608267
900	1.636163
1000	1.667310
1100	1.701700
1200	1.739327
1300	1.780180
1400	1.824250
1500	1.871527
1600	1.921998
1700	1.975653
1800	2.032478
1900	2.092459
2000	2.155582
2100	2.221832
2200	2.291193
2300	2.363648
2400	2.439179
2500	2.517770
2600	2.599400
2700	2.684051
2800	2.771702
2900	2.862334
3000	2.955923
3100	3.052450
3200	3.151890
3300	3.254222
3400	3.359420
3500	3.467461
3600	3.578320
3700	3.691972
3800	3.808390
3900	3.927548
4000	4.049419
4100	4.173976
4200	4.301191
4300	4.431036
4400	4.563481
4500	4.698498
4600	4.836056
4700	4.976127
4800	5.118679
4900	5.263682
5000	5.411104
5100	5.560914
5200	5.713081
5300	5.867573
5400	6.024356
5500	6.183400
5600	6.344669
5700	6.508133
5800	6.673756
5900	6.841507
6000	7.011350
