#﻿Frequency	Conductivity
100	1.233046
200	1.280216
300	1.316137
400	1.349623
500	1.383396
600	1.418634
700	1.455938
800	1.495641
900	1.537936
1000	1.582939
1100	1.630713
1200	1.681292
1300	1.734689
1400	1.790901
1500	1.849916
1600	1.911713
1700	1.976267
1800	2.043547
1900	2.113521
2000	2.186153
2100	2.261405
2200	2.339238
2300	2.419613
2400	2.502488
2500	2.587821
2600	2.675570
2700	2.765692
2800	2.858145
2900	2.952886
3000	3.049870
3100	3.149056
3200	3.250399
3300	3.353857
3400	3.459386
3500	3.566944
3600	3.676487
3700	3.787974
3800	3.901361
3900	4.016607
4000	4.133670
4100	4.252509
4200	4.373081
4300	4.495346
4400	4.619264
4500	4.744794
4600	4.871897
4700	5.000533
4800	5.130662
4900	5.262246
5000	5.395247
5100	5.529626
5200	5.665346
5300	5.802371
5400	5.940663
5500	6.080185
5600	6.220903
5700	6.362780
5800	6.505782
5900	6.649874
6000	6.795023
