#﻿Frequency	Conductivity
100	0.910894
200	0.957972
300	0.993786
400	1.026918
500	1.060067
600	1.094416
700	1.130577
800	1.168893
900	1.209569
1000	1.252729
1100	1.298447
1200	1.346764
1300	1.397702
1400	1.451264
1500	1.507446
1600	1.566235
1700	1.627611
1800	1.691551
1900	1.758029
2000	1.827014
2100	1.898475
2200	1.972379
2300	2.048692
2400	2.127378
2500	2.208401
2600	2.291725
2700	2.377312
2800	2.465125
2900	2.555125
3000	2.647275
3100	2.741537
3200	2.837872
3300	2.936242
3400	3.036609
3500	3.138935
3600	3.243181
3700	3.349310
3800	3.457284
3900	3.567065
4000	3.678615
4100	3.791898
4200	3.906876
4300	4.023513
4400	4.141772
4500	4.261617
4600	4.383012
4700	4.505920
4800	4.630307
4900	4.756138
5000	4.883378
5100	5.011991
5200	5.141945
5300	5.273205
5400	5.405738
5500	5.539510
5600	5.674490
5700	5.810643
5800	5.947939
5900	6.086346
6000	6.225832
