#﻿Frequency	Permitivity
100	53.922249
200	49.366388
300	47.982415
400	47.289719
500	46.848051
600	46.522573
700	46.258919
800	46.031148
900	45.825396
1000	45.633619
1100	45.450859
1200	45.273917
1300	45.100651
1400	44.929590
1500	44.759699
1600	44.590242
1700	44.420691
1800	44.250664
1900	44.079885
2000	43.908160
2100	43.735352
2200	43.561369
2300	43.386156
2400	43.209682
2500	43.031938
2600	42.852931
2700	42.672682
2800	42.491219
2900	42.308582
3000	42.124814
3100	41.939963
3200	41.754084
3300	41.567231
3400	41.379461
3500	41.190834
3600	41.001410
3700	40.811248
3800	40.620410
3900	40.428957
4000	40.236947
4100	40.044441
4200	39.851499
4300	39.658177
4400	39.464534
4500	39.270625
4600	39.076506
4700	38.882229
4800	38.687849
4900	38.493416
5000	38.298981
5100	38.104591
5200	37.910294
5300	37.716137
5400	37.522163
5500	37.328417
5600	37.134939
5700	36.941771
5800	36.748952
5900	36.556519
6000	36.364509
