#﻿Frequency	Conductivity
100	0.490211
200	0.515736
300	0.537030
400	0.559725
500	0.585085
600	0.613530
700	0.645211
800	0.680171
900	0.718403
1000	0.759871
1100	0.804525
1200	0.852305
1300	0.903146
1400	0.956979
1500	1.013735
1600	1.073340
1700	1.135722
1800	1.200807
1900	1.268524
2000	1.338798
2100	1.411557
2200	1.486728
2300	1.564239
2400	1.644019
2500	1.725998
2600	1.810105
2700	1.896271
2800	1.984428
2900	2.074508
3000	2.166444
3100	2.260171
3200	2.355624
3300	2.452738
3400	2.551452
3500	2.651702
3600	2.753429
3700	2.856572
3800	2.961072
3900	3.066872
4000	3.173914
4100	3.282144
4200	3.391507
4300	3.501949
4400	3.613417
4500	3.725862
4600	3.839232
4700	3.953478
4800	4.068552
4900	4.184408
5000	4.300999
5100	4.418281
5200	4.536211
5300	4.654745
5400	4.773842
5500	4.893461
5600	5.013563
5700	5.134110
5800	5.255064
5900	5.376388
6000	5.498048
