#﻿Frequency	Permitivity
100	68.805033
200	64.118090
300	62.448390
400	61.549057
500	60.963625
600	60.537109
700	60.201964
800	59.923912
900	59.683667
1000	59.469527
1100	59.273982
1200	59.091986
1300	58.920028
1400	58.755594
1500	58.596836
1600	58.442370
1700	58.291142
1800	58.142336
1900	57.995316
2000	57.849577
2100	57.704717
2200	57.560415
2300	57.416410
2400	57.272492
2500	57.128491
2600	56.984268
2700	56.839711
2800	56.694728
2900	56.549246
3000	56.403208
3100	56.256567
3200	56.109287
3300	55.961341
3400	55.812710
3500	55.663381
3600	55.513345
3700	55.362600
3800	55.211145
3900	55.058986
4000	54.906127
4100	54.752580
4200	54.598355
4300	54.443465
4400	54.287925
4500	54.131752
4600	53.974962
4700	53.817573
4800	53.659605
4900	53.501077
5000	53.342009
5100	53.182423
5200	53.022338
5300	52.861777
5400	52.700760
5500	52.539310
5600	52.377448
5700	52.215196
5800	52.052576
5900	51.889609
6000	51.726318
