#﻿Frequency	Conductivity
100	0.547654
200	0.583462
300	0.610956
400	0.636210
500	0.661198
600	0.686806
700	0.713502
800	0.741556
900	0.771132
1000	0.802332
1100	0.835220
1200	0.869836
1300	0.906202
1400	0.944328
1500	0.984217
1600	1.025863
1700	1.069259
1800	1.114390
1900	1.161242
2000	1.209796
2100	1.260034
2200	1.311934
2300	1.365475
2400	1.420633
2500	1.477385
2600	1.535707
2700	1.595574
2800	1.656962
2900	1.719845
3000	1.784198
3100	1.849996
3200	1.917212
3300	1.985820
3400	2.055796
3500	2.127113
3600	2.199746
3700	2.273669
3800	2.348855
3900	2.425280
4000	2.502919
4100	2.581744
4200	2.661733
4300	2.742859
4400	2.825097
4500	2.908423
4600	2.992812
4700	3.078240
4800	3.164682
4900	3.252115
5000	3.340514
5100	3.429857
5200	3.520119
5300	3.611277
5400	3.703309
5500	3.796192
5600	3.889903
5700	3.984420
5800	4.079721
5900	4.175785
6000	4.272589
