#﻿Frequency	Permitivity
100	78.996305
200	66.954440
300	62.917679
400	61.232571
500	60.377878
600	59.877873
700	59.551664
800	59.319382
900	59.141591
1000	58.997079
1100	58.873643
1200	58.763874
1300	58.663074
1400	58.568151
1500	58.477008
1600	58.388186
1700	58.300649
1800	58.213647
1900	58.126629
2000	58.039185
2100	57.951008
2200	57.861865
2300	57.771580
2400	57.680019
2500	57.587080
2600	57.492688
2700	57.396785
2800	57.299331
2900	57.200296
3000	57.099663
3100	56.997421
3200	56.893565
3300	56.788096
3400	56.681022
3500	56.572350
3600	56.462094
3700	56.350268
3800	56.236890
3900	56.121980
4000	56.005556
4100	55.887642
4200	55.768259
4300	55.647433
4400	55.525187
4500	55.401547
4600	55.276539
4700	55.150188
4800	55.022521
4900	54.893566
5000	54.763350
5100	54.631899
5200	54.499242
5300	54.365405
5400	54.230418
5500	54.094306
5600	53.957098
5700	53.818822
5800	53.679506
5900	53.539176
6000	53.397860
