#﻿Frequency	Permitivity
100	60.310758
200	54.449449
300	52.573097
400	51.617567
500	51.018518
600	50.594437
700	50.268951
800	50.004262
900	49.779491
1000	49.582154
1100	49.404325
1200	49.240728
1300	49.087718
1400	48.942700
1500	48.803774
1600	48.669524
1700	48.538872
1800	48.410986
1900	48.285217
2000	48.161050
2100	48.038075
2200	47.915962
2300	47.794445
2400	47.673305
2500	47.552367
2600	47.431485
2700	47.310540
2800	47.189434
2900	47.068090
3000	46.946441
3100	46.824435
3200	46.702030
3300	46.579193
3400	46.455898
3500	46.332126
3600	46.207861
3700	46.083094
3800	45.957820
3900	45.832036
4000	45.705743
4100	45.578944
4200	45.451643
4300	45.323849
4400	45.195569
4500	45.066814
4600	44.937595
4700	44.807925
4800	44.677817
4900	44.547283
5000	44.416340
5100	44.285002
5200	44.153285
5300	44.021204
5400	43.888776
5500	43.756016
5600	43.622942
5700	43.489571
5800	43.355918
5900	43.222001
6000	43.087837
