#﻿Frequency	Permitivity
100	60.492081
200	50.713420
300	47.955754
400	46.666593
500	45.903424
600	45.383885
700	44.995750
800	44.685996
900	44.426442
1000	44.200778
1100	43.998934
1200	43.814366
1300	43.642648
1400	43.480684
1500	43.326247
1600	43.177697
1700	43.033806
1800	42.893633
1900	42.756451
2000	42.621689
2100	42.488897
2200	42.357712
2300	42.227844
2400	42.099056
2500	41.971155
2600	41.843985
2700	41.717414
2800	41.591337
2900	41.465665
3000	41.340327
3100	41.215261
3200	41.090419
3300	40.965760
3400	40.841253
3500	40.716870
3600	40.592591
3700	40.468398
3800	40.344280
3900	40.220226
4000	40.096231
4100	39.972290
4200	39.848401
4300	39.724565
4400	39.600781
4500	39.477052
4600	39.353383
4700	39.229777
4800	39.106240
4900	38.982778
5000	38.859397
5100	38.736104
5200	38.612906
5300	38.489812
5400	38.366830
5500	38.243966
5600	38.121230
5700	37.998630
5800	37.876174
5900	37.753872
6000	37.631730
