#﻿Frequency	Permitivity
100	15.282570
200	13.947582
300	13.438961
400	13.147263
500	12.945710
600	12.790628
700	12.662775
800	12.552298
900	12.453616
1000	12.363321
1100	12.279219
1200	12.199828
1300	12.124116
1400	12.051341
1500	11.980958
1600	11.912558
1700	11.845829
1800	11.780531
1900	11.716473
2000	11.653506
2100	11.591512
2200	11.530392
2300	11.470069
2400	11.410479
2500	11.351570
2600	11.293297
2700	11.235624
2800	11.178523
2900	11.121966
3000	11.065933
3100	11.010406
3200	10.955371
3300	10.900812
3400	10.846721
3500	10.793087
3600	10.739902
3700	10.687158
3800	10.634850
3900	10.582972
4000	10.531520
4100	10.480488
4200	10.429873
4300	10.379671
4400	10.329879
4500	10.280494
4600	10.231514
4700	10.182934
4800	10.134754
4900	10.086970
5000	10.039580
5100	9.992582
5200	9.945973
5300	9.899752
5400	9.853915
5500	9.808461
5600	9.763388
5700	9.718692
5800	9.674373
5900	9.630427
6000	9.586853
