#﻿Frequency	Conductivity
100	0.736959
200	0.777395
300	0.803580
400	0.827247
500	0.851080
600	0.876053
700	0.902601
800	0.930933
900	0.961154
1000	0.993315
1100	1.027433
1200	1.063505
1300	1.101517
1400	1.141449
1500	1.183274
1600	1.226960
1700	1.272477
1800	1.319791
1900	1.368866
2000	1.419669
2100	1.472163
2200	1.526314
2300	1.582085
2400	1.639443
2500	1.698352
2600	1.758778
2700	1.820687
2800	1.884045
2900	1.948819
3000	2.014976
3100	2.082483
3200	2.151308
3300	2.221421
3400	2.292790
3500	2.365384
3600	2.439174
3700	2.514129
3800	2.590221
3900	2.667420
4000	2.745699
4100	2.825029
4200	2.905383
4300	2.986735
4400	3.069057
4500	3.152324
4600	3.236509
4700	3.321589
4800	3.407537
4900	3.494329
5000	3.581942
5100	3.670352
5200	3.759535
5300	3.849469
5400	3.940132
5500	4.031501
5600	4.123555
5700	4.216272
5800	4.309632
5900	4.403615
6000	4.498199
