#﻿Frequency	Conductivity
100	0.744428
200	0.775391
300	0.799301
400	0.822288
500	0.846077
600	0.871379
700	0.898546
800	0.927766
900	0.959142
1000	0.992731
1100	1.028562
1200	1.066645
1300	1.106977
1400	1.149547
1500	1.194341
1600	1.241336
1700	1.290510
1800	1.341836
1900	1.395288
2000	1.450835
2100	1.508449
2200	1.568098
2300	1.629751
2400	1.693378
2500	1.758944
2600	1.826419
2700	1.895771
2800	1.966966
2900	2.039972
3000	2.114757
3100	2.191288
3200	2.269533
3300	2.349459
3400	2.431034
3500	2.514227
3600	2.599005
3700	2.685336
3800	2.773189
3900	2.862533
4000	2.953335
4100	3.045566
4200	3.139194
4300	3.234189
4400	3.330520
4500	3.428158
4600	3.527072
4700	3.627233
4800	3.728612
4900	3.831179
5000	3.934907
5100	4.039765
5200	4.145727
5300	4.252764
5400	4.360848
5500	4.469953
5600	4.580051
5700	4.691115
5800	4.803120
5900	4.916038
6000	5.029845
