#﻿Frequency	Permitivity
100	56.801421
200	47.064337
300	43.775971
400	42.072027
500	41.003736
600	40.256528
700	39.695047
800	39.251046
900	38.886218
1000	38.577317
1100	38.309385
1200	38.072336
1300	37.859113
1400	37.664623
1500	37.485097
1600	37.317683
1700	37.160183
1800	37.010877
1900	36.868397
2000	36.731644
2100	36.599725
2200	36.471907
2300	36.347584
2400	36.226251
2500	36.107482
2600	35.990920
2700	35.876260
2800	35.763243
2900	35.651647
3000	35.541281
3100	35.431980
3200	35.323601
3300	35.216023
3400	35.109136
3500	35.002848
3600	34.897078
3700	34.791755
3800	34.686817
3900	34.582211
4000	34.477890
4100	34.373813
4200	34.269944
4300	34.166254
4400	34.062715
4500	33.959304
4600	33.856003
4700	33.752795
4800	33.649665
4900	33.546602
5000	33.443596
5100	33.340639
5200	33.237726
5300	33.134851
5400	33.032011
5500	32.929203
5600	32.826427
5700	32.723683
5800	32.620970
5900	32.518291
6000	32.415646
