#﻿Frequency	Permitivity
100	52.962433
200	47.355187
300	45.306701
400	44.201244
500	43.488933
600	42.979340
700	42.588287
800	42.272574
900	42.007661
1000	41.778535
1100	41.575482
1200	41.391929
1300	41.223269
1400	41.066173
1500	40.918181
1600	40.777430
1700	40.642490
1800	40.512244
1900	40.385808
2000	40.262475
2100	40.141671
2200	40.022933
2300	39.905875
2400	39.790182
2500	39.675590
2600	39.561880
2700	39.448867
2800	39.336396
2900	39.224336
3000	39.112577
3100	39.001025
3200	38.889601
3300	38.778239
3400	38.666883
3500	38.555485
3600	38.444005
3700	38.332412
3800	38.220677
3900	38.108779
4000	37.996699
4100	37.884424
4200	37.771943
4300	37.659248
4400	37.546334
4500	37.433197
4600	37.319837
4700	37.206254
4800	37.092450
4900	36.978429
5000	36.864194
5100	36.749753
5200	36.635110
5300	36.520273
5400	36.405251
5500	36.290051
5600	36.174683
5700	36.059156
5800	35.943479
5900	35.827663
6000	35.711718
